	lncRNA
338	RP11-214L19.2
339	LINC01343
340	LINC01685
341	RP11-334L9.2
342	RP5-864K19.7
343	RP5-864K19.4
344	RP11-416A14.2
345	RP11-420K8.1
346	PABPC4-AS1
347	RP1-144F13.3
348	BMP8B-AS1
349	RP1-118J21.25
350	RP1-118J21.27
351	LINC02811
352	MYCL-AS1
353	RP1-39G22.7
354	RP1-228H13.6
355	RP1-228H13.5
356	RP11-656D10.7
357	RP11-656D10.3
358	RP11-656D10.5
359	RP11-656D10.6
360	RP1-63P18.3
361	RP4-739H11.5
362	RP4-739H11.3
363	NFYC-AS1
364	RP5-1066H13.4
365	RP11-348A7.7
366	SLFNL1-AS1
367	RP11-399E6.6
368	RP11-399E6.1
369	FOXO6-AS1
370	RP11-486B10.3
371	RP1-21K4.2
372	RP11-223A3.1
373	RP5-994D16.13
374	RP5-994D16.3
375	RP5-994D16.9
376	RP11-342M1.3
377	SLC2A1-AS1
378	RP5-848E13.4
379	RP1-92O14.7
380	RP1-92O14.3
381	MED8-AS1
382	SZT2-AS1
383	HYI-AS1
384	KDM4A-AS1
385	ST3GAL3-AS1
386	RP11-7O11.9
387	RP11-7O11.3
388	RP11-7O11.8
389	RP5-1198O20.4
390	ERI3-IT1
391	RP11-269F19.10
392	LINC01144
393	RP11-767N6.7
394	RP4-533D7.4
395	RP4-533D7.5
396	LINC01398
397	MKNK1-AS1
398	EFCAB14-AS1
399	CYP4A22-AS1
400	LINC00853
401	RP1-18D14.7
402	LINC01389
403	FOXD2-AS1
404	LINC01738
405	RP11-543D5.2
406	RP11-330M19.1
407	LINC02794
408	RP11-193P11.3
409	RP5-1024N4.6
410	RP5-1024N4.2
411	RP5-1024N4.4
412	RP5-1024N4.5
413	RP11-342A17.2
414	RP11-476C24.1
415	RP11-141A19.1
416	AGBL4-AS1
417	AGBL4-IT1
418	RP11-93G23.2
419	ELAVL4-AS1
420	RP11-567C20.3
421	LINC02808
422	RP11-567C20.4
423	RP5-850O15.3
424	FAF1-AS1
425	LINC01562
426	RP11-296A18.6
427	TTC39A-AS1
428	RP11-253A20.1
429	EPS15-AS1
430	RP4-657D16.3
431	RP4-657D16.6
432	RP11-91A18.4
433	TXNDC12-AS1
434	RP11-155O18.6
435	RP11-155O18.7
436	RP11-25O10.2
437	RP4-631H13.2
438	RP11-334A14.5
439	RP11-334A14.8
440	RP5-1024G6.2
441	RP5-1024G6.7
442	RP5-1024G6.5
443	RP4-784A16.1
444	RP4-784A16.2
445	RP4-784A16.4
446	LINC01771
447	RP11-117D22.3
448	RP11-117D22.1
449	LINC02812
450	RP4-758J24.6
451	RP11-446E24.3
452	SSBP3-AS1
453	RP5-997D24.3
454	RP4-705F19.1
455	RP5-866L20.4
456	LINC02784
457	RP11-240D10.4
458	RP11-67L3.2
459	RP11-67L3.7
460	RP11-67L3.5
461	DHCR24-DT
462	RP11-12C17.3
463	RP11-12C17.2
464	MIR4422HG
465	RP11-90C4.1
466	LINC01755
467	LINC01753
468	RP1-158P9.1
469	RP1-158P9.2
470	LINC01767
471	RP11-378I13.1
472	RP5-1103B4.3
473	RP6-102O10.1
474	DAB1-AS1
475	RP11-393I23.4
476	RP4-592A1.5
477	RP11-63G10.4
478	LINC01135
479	RP11-63G10.3
480	RP11-63G10.2
481	LINC02777
482	LINC01358
483	RP11-145M4.1
484	RP11-145M4.2
485	FGGY-DT
486	RP11-467C18.1
487	RP4-782L23.2
488	LINC02778
489	LINC01748
490	RP11-436K8.1
491	NFIA-AS2
492	NFIA-AS1
493	RP11-430G17.4
494	RP11-430G17.5
495	PATJ-DT
496	RP5-849H19.3
497	RP11-230B22.1
498	RP4-771M4.3
499	LINC01739
500	RP11-5P4.4
501	RP11-5P4.2
502	RP11-5P4.3
503	RP11-335E6.2
504	LINC00466
505	RP11-335E6.3
506	FOXD3-AS1
507	RP11-565D17.2
508	DLEU2L
509	ROR1-AS1
510	RP11-24J23.3
511	LINC01359
512	RP4-535B20.4
513	RP5-1044H5.1
514	RP4-630A11.3
515	RP11-433N2.1
516	PDE4B-AS1
517	RP4-598P13.1
518	RP11-342H21.2
519	RP4-547N15.3
520	LINC01702
521	GNG12-AS1
522	RP4-694A7.2
523	DEPDC1-AS1
524	RP4-629B2.1
525	RP11-520E6.1
526	RP11-520E6.2
527	LINC01707
528	LINC02791
529	LINC01758
530	RP11-379C1.2
531	RP5-944F13.1
532	LRRC7-AS1
533	RP4-677H15.4
534	HHLA3
535	HHLA3-AS1
536	RP11-42O15.3
537	LINC01788
538	RP11-99H8.1
539	RP3-333A15.1
540	RP3-333A15.2
541	ZRANB2-AS1
542	ZRANB2-AS2
543	RP11-82L20.1
544	NEGR1-IT1
545	RP4-660H19.2
546	RP4-660H19.1
547	LINC02796
548	LINC02797
549	RP11-25L19.1
550	LINC01360
551	LINC02238
552	RP11-275A6.1
553	RP11-439H8.4
554	RP4-650F12.2
555	ERICH3-AS1
556	RP11-17E13.2
557	RP11-93N20.1
558	RP11-510C10.4
559	RP11-510C10.2
560	RP11-510C10.3
561	RP11-550H2.1
562	RP11-550H2.2
563	RP5-1102E8.3
564	LINC02567
565	RP4-564M11.2
566	RP4-564M11.4
567	RP11-363H12.3
568	RP11-375A5.1
569	RP11-40C18.2
570	NEXN-AS1
571	RP11-386I14.4
572	RP11-386I14.5
573	MGC27382
574	RP4-726F1.2
575	RP4-726F1.1
576	LINC02792
577	RP11-466L22.1
578	RP11-339A11.2
579	RP11-339D23.1
580	RP5-933B4.1
581	LINC01781
582	RP3-445O10.1
583	RP5-837I24.6
584	RP5-837I24.2
585	RP5-837I24.4
586	RP11-147G16.1
587	LINC01362
588	LINC01361
589	RP11-338F23.1
590	LINC01712
591	LINC01725
592	RP5-836J3.1
593	TTLL7-IT1
594	RP4-552O12.3
595	PRKACB-DT
596	RP11-275B14.1
597	RP11-118B23.9
598	RP11-118B23.6
599	RP11-118B23.7
600	LINC01555
601	RP4-604P14.2
602	RP11-33E12.2
603	RP11-131L23.1
604	RP11-131L23.2
605	RP4-621F18.2
606	RP11-290M5.4
607	RP11-290M5.2
608	LINC02795
609	CLCA4-AS1
610	RP11-277G24.1
611	RP4-604K5.3
612	LINC01140
613	LINC02801
614	LINC01364
615	PKN2-AS1
616	RP11-60A14.1
617	RP11-427B20.1
618	RP5-838N20.7
619	RP4-620F22.3
620	RP4-620F22.2
621	RP4-644F6.4
622	LRRC8C-DT
623	RP11-413E1.4
624	RP5-943J3.1
625	LRRC8D-DT
626	RP11-302M6.5
627	RP5-871E2.2
628	RP11-297I23.1
629	RP11-259G3.1
630	LINC02787
631	RP11-99A8.2
632	LINC02609
633	LINC02788
634	LINC01763
635	RP4-665J23.4
636	RP4-621B10.8
637	RP11-430H15.1
638	CCDC18-AS1
639	BCAR3-AS1
640	RP4-561L24.3
641	RP11-78O9.1
642	ARHGAP29-AS1
643	RP11-148B18.4
644	RP11-366L18.2
645	RP11-86H7.6
646	CNN3-DT
647	ALG14-AS1
648	RP11-57H12.2
649	RP11-57H12.3
650	RP11-57H12.5
651	RP11-57H12.7
652	LINC01760
653	LINC01650
654	RP11-14O19.2
655	LINC01761
656	LINC02607
657	RP11-286B14.2
658	LINC02790
659	LINC01787
660	DPYD-AS1
661	DPYD-IT1
662	DPYD-AS2
663	MIR137HG
664	RP11-490G2.2
665	RP4-672J20.3
666	LINC01776
667	RP11-296E3.2
668	RP5-896L10.1
669	LINC01708
670	RP5-884G6.2
671	RP4-714D9.2
672	RP11-305E17.8
673	RTCA-AS1
674	RP5-837M10.2
675	RP5-837M10.4
676	LINC01349
677	RP11-84O12.5
678	RP4-549L20.3
679	RP11-421L21.2
680	RP11-421L21.3
681	RP4-575N6.4
682	LINC01307
683	LINC01709
684	RP11-202K23.1
685	RP5-936J12.1
686	RP11-153F1.2
687	RP11-153F1.1
688	RP11-333H8.1
689	LINC01676
690	LINC01677
691	RP5-947P14.1
692	LINC01661
693	VAV3-AS1
694	LINC02785
695	RP11-483I13.5
696	RP11-483I13.6
697	RP11-483I13.2
698	RP11-131J3.1
699	RP11-256E16.3
700	RP11-293A10.3
701	SPATA42
702	TMEM167B-DT
703	SCARNA2
704	RP5-1160K1.8
705	RP5-1160K1.3
706	RP5-1160K1.6
707	AC000032.2
708	RP4-735C1.4
709	LINC01768
710	RP11-195M16.1
711	RP11-195M16.3
712	RP4-773N10.4
713	LINC01397
714	SLC6A17-AS1
715	RP5-1028L10.2
716	LINC02586
717	RBM15-AS1
718	LAMTOR5-AS1
719	RP5-1074L1.4
720	RP11-470L19.5
721	RP11-470L19.6
722	RP11-470L19.7
723	CYMP-AS1
724	RP11-284N8.3
725	RP11-96K19.4
726	RP11-96K19.2
727	RP11-96K19.5
728	RP5-1180E21.4
729	RP5-1180E21.5
730	RP5-1125M8.2
731	RP11-552M11.8
732	RP11-552M11.4
733	LINC01160
734	INKA2-AS1
735	RP4-773A18.8
736	KCND3-IT1
737	KCND3-AS1
738	LINC01750
739	LINC02884
740	RP4-671G15.2
741	RP11-426L16.3
742	PPM1J-DT
743	LINC01356
744	LINC01357
745	SLC16A1-AS1
746	RP11-31F15.4
747	LRIG2-DT
748	RP5-1073O3.2
749	AP4B1-AS1
750	HIPK1-AS1
751	RP4-590F24.2
752	RP4-543J13.1
753	LINC01765
754	RP4-662B22.2
755	NGF-AS1
756	RP4-663N10.4
757	LINC01649
758	RP11-159M11.2
759	LINC01779
760	RP4-787H6.1
761	ATP1A1-AS1
762	LINC01762
763	RP4-655J12.5
764	RP5-1086K13.1
765	RP5-1086K13.3
766	LINC02868
767	RP4-753F5.1
768	RP11-27K13.3
769	LINC01525
770	RP11-188D8.1
771	RP4-675C20.4
772	AL157902.3
773	RP11-506J19.1
774	RP4-712E4.1
775	RP4-712E4.2
776	WARS2-IT1
777	WARS2-AS1
778	RP11-418J17.3
779	LINC01780
780	HAO2-IT1
781	LINC00622
782	RP11-114O18.1
783	CH17-3B23.3
784	CH17-118O6.6
785	LINC00623
786	RP11-439A17.10
787	RP11-439A17.9
788	RP11-439A17.4
789	SRGAP2-AS1
790	LINC02798
791	RP11-344P13.4
792	RP11-344P13.6
793	LINC01691
794	LINC02799
795	RP11-403I13.5
796	LINC02591
797	RP5-998N21.7
798	LINC02802
799	RP11-763B22.4
800	LINC01632
801	RP11-289H16.1
802	CH17-195P21.2
803	CH17-373J23.1
804	RP11-89F3.2
805	CH17-262O2.4
806	CH17-262O2.5
807	RP11-315I20.3
808	LIX1L-AS1
809	CH17-270A2.1
810	CH17-353B19.2
811	LINC01719
812	CH17-353B19.1
813	CH17-408M7.2
814	RP4-704D21.2
815	RP11-337C18.10
816	LINC00624
817	RP11-533N14.3
818	RP11-433J22.2
819	RP11-433J22.3
820	XXyac-YX155B6.7
821	LINC02804
822	LINC02805
823	RP4-565E6.1
824	LINC01731
825	LINC01138
826	LINC02806
827	RP11-495P10.3
828	RP6-74O6.6
829	CH17-172B3.1
830	RP4-791M13.5
831	RP4-791M13.4
832	RP4-791M13.3
833	CH17-189H20.1
834	RP11-326G21.1
835	RP11-353N4.6
836	RP11-196G18.3
837	RP11-196G18.23
838	CH17-55D9.1
839	CH17-67K23.2
840	RP4-790G17.7
841	FALEC
842	ADAMTSL4-AS2
843	ADAMTSL4-AS1
844	RP11-316M1.12
845	RP11-316M1.3
846	RP11-68I18.10
847	ZNF687-AS1
848	RP11-126K1.9
849	RP11-126K1.8
850	RFX5-AS1
851	RP11-74C1.4
852	RP11-404E16.1
853	RP11-98D18.1
854	RP11-98D18.15
855	RP11-98D18.3
856	RP11-98D18.2
857	RP11-98D18.16
858	TDRKH-AS1
859	RP11-98D18.17
860	C2CD4D-AS1
861	RP11-139D23.7
862	RP11-139D23.8
863	AL591893.1
864	AL589986.2
865	FLG-AS1
866	RP11-107M16.2
867	LINC01527
868	RP1-140J1.1
869	BX470102.3
870	RP11-49N14.10
871	RP1-178F15.5
872	RP1-178F15.4
873	RP11-216N14.8
874	RP11-216N14.9
875	RP11-422P24.13
876	RP11-422P24.12
877	RP11-422P24.10
878	RP11-422P24.11
879	IL6R-AS1
880	RP11-350G8.9
881	UBE2Q1-AS1
882	RP11-61L14.7
883	RP11-61L14.6
884	RP11-274N19.4
885	RP11-307C12.13
886	RP11-307C12.12
887	DCST1-AS1
888	THBS3-AS1
889	RP11-263K19.6
890	RUSC1-AS1
891	ASH1L-IT1
892	ASH1L-AS1
893	RP11-29H23.4
894	RP11-29H23.8
895	RP11-243J18.2
896	ARHGEF2-AS2
897	ARHGEF2-AS1
898	RP11-336K24.14
899	RP11-139I14.2
900	MIR9-1HG
901	RP11-284F21.8
902	RP11-284F21.11
903	BCAN-AS1
904	RP11-284F21.10
905	RP11-284F21.7
906	RP11-66D17.3
907	RP11-66D17.14
908	RP11-66D17.5
909	RP11-66D17.15
910	RP11-85G21.1
911	LINC02772
912	RP11-367J7.3
913	KIRREL1-IT1
914	LINC01704
915	RP11-404O13.5
916	RP11-144L1.4
917	CADM3-AS1
918	RP11-550P17.5
919	LINC02819
920	SNHG28
921	RP11-190A12.10
922	RP11-190A12.11
923	RP11-190A12.9
924	LINC01133
925	RP11-536C5.2
926	RP11-536C5.7
927	RP11-574F21.2
928	RP11-528G1.2
929	RP11-404F10.2
930	RP11-312J18.6
931	RP11-544M22.1
932	NECTIN4-AS1
933	RP11-297K8.2
934	RP11-122G18.14
935	RP11-122G18.12
936	RP11-122G18.13
937	RP11-122G18.10
938	RP11-122G18.11
939	RP11-25K21.6
940	RP11-5K23.5
941	RP11-25K21.1
942	RP11-474I16.8
943	RP11-227F8.2
944	RP11-384L19.1
945	RP11-565P22.2
946	RP11-359K18.3
947	RP11-359K18.4
948	RGS5-AS1
949	RGS5
950	RP11-77M5.1
951	RP11-477H21.2
952	PBX1-AS1
953	RP11-506O24.2
954	LMX1A-AS2
955	LMX1A-AS1
956	LRRC52-AS1
957	RP11-306I1.2
958	RP11-466F5.10
959	TMCO1-AS1
960	RP11-525G13.2
961	FAM78B-AS1
962	RP11-9L18.3
963	RP11-479J7.2
964	RP11-479J7.1
965	LINC01675
966	RP11-102C16.3
967	LINC01363
968	POU2F1-DT
969	RP11-52A20.2
970	RP11-104L21.4
971	RP11-104L21.2
972	RP11-104L21.3
973	RP3-455J7.4
974	RP1-313L4.3
975	RP5-968D22.3
976	RP5-968D22.1
977	RP4-797M17.2
978	RP1-10C16.1
979	LINC00626
980	RP11-375F2.4
981	LINC00970
982	RP5-1018K9.4
983	RP5-1018K9.1
984	RP4-800F24.1
985	RP1-206D15.6
986	RP1-117P20.3
987	RP11-332H17.1
988	LINC01681
989	LINC01142
990	GORAB-AS1
991	RP11-545I10.2
992	RP1-79C4.1
993	RP1-79C4.4
994	RP1-45C12.1
995	RP1-127D3.4
996	DNM3-IT1
997	DNM3OS
998	RP5-1116C7.2
999	RP3-332O11.2
1000	RP1-15D23.2
1001	RP3-471M13.2
1002	RP3-395P12.2
1003	PRDX6-AS1
1004	RP3-436N22.3
1005	GAS5
1006	GAS5-AS1
1007	RC3H1-IT1
1008	LINC02776
1009	RABGAP1L-DT
1010	RABGAP1L-IT1
1011	RABGAP1L-AS1
1012	RP1-102G20.8
1013	RP5-1114G22.2
1014	RP3-518E13.2
1015	TNR-IT1
1016	LINC01657
1017	LINC02803
1018	RP11-492I21.1
1019	RP11-195C7.1
1020	RP4-774I24.3
1021	LINC01645
1022	RP1-35C21.2
1023	LINC01741
1024	CRYZL2P-SEC16B
1025	RASAL2-AS1
1026	RP5-990P15.4
1027	C1orf220
1028	RP5-1098D14.1
1029	RALGPS2-AS1
1030	RP11-545A16.1
1031	RP11-545A16.4
1032	RP11-12M5.1
1033	RP11-12M5.3
1034	LINC02818
1035	RP11-533E19.7
1036	RP11-533E19.2
1037	RP11-533E19.5
1038	RP11-502H18.2
1039	OVAAL
1040	LINC02816
1041	RP11-46A10.5
1042	KIAA1614-AS1
1043	LINC01732
1044	RP11-540K16.2
1045	LINC01699
1046	RP11-33M22.4
1047	RP11-33M22.2
1048	RP11-33M22.3
1049	RP11-538D16.2
1050	RP11-538D16.3
1051	LINC01344
1052	GS1-122H1.1
1053	LINC00272
1054	LINC01686
1055	LINC01688
1056	RP11-249O6.2
1057	LAMC1-AS1
1058	RP11-548N1.2
1059	RP11-74N20.2
1060	SMG7-AS1
1061	RP1-127C7.8
1062	RP11-444D13.1
1063	GS1-215N23.2
1064	RP11-382D12.1
1065	C1orf21-DT
1066	GS1-115G20.1
1067	RP4-768P8.2
1068	GS1-238N13.1
1069	LINC01633
1070	RP4-635A23.6
1071	GS1-279B7.2
1072	GS1-204I12.3
1073	LINC01350
1074	GS1-204I12.4
1075	GS1-174L6.4
1076	GS1-174L6.5
1077	PDC-AS1
1078	GS1-304P7.3
1079	RP11-295K2.6
1080	PACERR
1081	LINC01036
1082	RP11-134C1.2
1083	RP11-201A3.1
1084	RP11-669M2.1
1085	RP11-316I3.1
1086	RP11-316I3.2
1087	LINC01035
1088	LINC01701
1089	RP11-445J9.1
1090	RP11-445J9.2
1091	RP11-547I7.1
1092	LINC01351
1093	RP11-161I10.1
1094	LINC01720
1095	RP11-544G4.1
1096	RP11-309H21.3
1097	LINC01680
1098	LINC02770
1099	RP11-541F9.1
1100	RP11-139E24.1
1101	RP5-1011O1.3
1102	LINC01031
1103	RP11-57K16.1
1104	RP11-563D10.1
1105	RP11-21J7.1
1106	RP11-98G13.1
1107	RP11-476H20.1
1108	RP11-489C13.2
1109	RP11-379L12.1
1110	LINC01724
1111	RP11-75C23.1
1112	RP11-448G4.4
1113	RP11-404H1.1
1114	RP11-553K8.2
1115	RP11-553K8.5
1116	MIR181A1HG
1117	RP11-16L9.2
1118	LINC01222
1119	LINC01221
1120	RP11-16L9.5
1121	LINC02789
1122	LINC00862
1123	RP11-532L16.3
1124	RP11-469A15.2
1125	RP11-121P12.1
1126	DDX59-AS1
1127	RP11-168O16.1
1128	RP11-168O16.2
1129	RP11-567E21.3
1130	RP11-27G14.5
1131	RP11-27G14.4
1132	RP11-134G8.10
1133	RP11-134G8.7
1134	RP11-25B7.1
1135	IPO9-AS1
1136	RP11-90L20.2
1137	RP11-307B6.3
1138	ELF3-AS1
1139	RP11-510N19.5
1140	RP11-569A11.1
1141	RP11-569A11.2
1142	RP11-480I12.10
1143	PCAT6
1144	RP11-335O13.7
1145	RP11-335O13.8
1146	LINC01353
1147	LINC01136
1148	RP11-450D21.4
1149	LINC00303
1150	RP11-74C13.6
1151	RP11-74C13.4
1152	ERLNC1
1153	RP11-203F10.5
1154	LINC00628
1155	RP11-739N20.2
1156	RP11-430C7.4
1157	RP11-430C7.5
1158	RP11-23I7.1
1159	RP11-80N9.1
1160	TMCC2-AS1
1161	LEMD1-AS1
1162	LEMD1-DT
1163	RP11-212H11.5
1164	RP4-681L3.3
1165	RP4-681L3.2
1166	RP11-38J22.3
1167	CH17-84K15.4
1168	RP11-38J22.1
1169	C1orf147
1170	RP11-534L20.5
1171	CH17-76K2.6
1172	DYRK3-AS1
1173	RP11-164O23.8
1174	RP11-164O23.7
1175	RP11-6J21.2
1176	RP11-357P18.3
1177	RP11-78B10.2
1178	RP11-57I17.4
1179	MIR29B2CHG
1180	RP11-328D5.5
1181	LINC02767
1182	RP11-243A2.1
1183	RP11-2P2.2
1184	LINC01735
1185	LINC02769
1186	LINC01717
1187	LINC01774
1188	RP11-385M4.5
1189	RP11-385M4.1
1190	LINC01696
1191	LINC01698
1192	MIR205HG
1193	RP1-272L16.1
1194	RP1-272L16.4
1195	HSD11B1-AS1
1196	RP4-782D21.1
1197	SERTAD4-AS1
1198	RP5-879K22.2
1199	RP5-879K22.3
1200	RP11-75I2.3
1201	RP11-543B16.3
1202	KCNH1-IT1
1203	RP11-318L16.8
1204	LINC00467
1205	RP11-359E8.3
1206	RP11-359E8.5
1207	RP11-354K1.2
1208	LINC01693
1209	RP11-122M14.1
1210	RP11-122M14.3
1211	LPGAT1-AS1
1212	RP11-15I11.2
1213	LINC02608
1214	RP11-384C4.6
1215	RP11-384C4.7
1216	RP11-384C4.2
1217	RP11-61J19.7
1218	LINC02771
1219	RP11-61J19.6
1220	LINC01740
